# Public Google Drive file inventory for the assignment dataset.
# file_id	filename	size_bytes
1C9bjUKF6JHQ4UFDlLrI_fbfWmHok3Zca	dji_20250111171246_0059_v.jpg	7745536
1xU21S-wWpXbhhrVuYDP8QCvu8f_JbKOb	dji_20250111171247_0060_v.jpg	7827456
1pplqiG9Mcf_rBHXgD-Om1FvTx-PlF0jh	dji_20250111171248_0061_v.jpg	8265728
1ybCORWOml9M5FdVtWl_Zmna_GSkpH6QN	dji_20250111171249_0062_v.jpg	8654848
1-KWNB7JI8bZDcWWIxLjF38eAsjF0CjOi	dji_20250111171250_0063_v.jpg	9482240
1GskrL3KP-ggWU_sL_1GsfONXuCkyZsUz	dji_20250111171251_0064_v.jpg	9273344
1UcPMUZKbkQzuhehlc2NXmv-Fnng_XKzN	dji_20250111171252_0065_v.jpg	9330688
11dFHSnu7y5p7u3NpUKoTzl4ykPbfPoMF	dji_20250111171253_0066_v.jpg	9273344
15bpDFf9uAhZ-jN-0YTo-B-0JLtHXjBu9	dji_20250111171254_0067_v.jpg	9056256
1rvKA0XsSmj1ZPez2glkEBa-9BwiaOBJB	dji_20250111171255_0068_v.jpg	9277440
1AtVKd9JEVsOdTOwgucCXx64Yf0OLJS57	dji_20250111171256_0069_v.jpg	9003008
1QBPpvJshWPzdn5NZJmRGIAMc1HdWiQiN	dji_20250111171257_0070_v.jpg	8376320
1XEBMOvbc-nBtHIWEJ_9t619yCnpBw-8f	dji_20250111171258_0071_v.jpg	8298496
1kQHED2dLJ5M_qk3-JQok_9RwHDo9aLa3	dji_20250111171259_0072_v.jpg	8282112
13IKqg7-JYn88QxROntw7NLVMC8q1soMF	dji_20250111171300_0073_v.jpg	8433664
1HgE2l3gTb4PRRhl-GCycU-c31sjgLWgt	dji_20250111171301_0074_v.jpg	8523776
126BXkcaTke5xN79Th0SNS9bBM9oXAmBg	dji_20250111171302_0075_v.jpg	8466432
18W-UajdDFVEp4MrQnSKiDESNbcPXl59F	dji_20250111171303_0076_v.jpg	8327168
1EIAzdhwiUpU_CTvjOrP5wvOc0kZX0oYI	dji_20250111171304_0077_v.jpg	8134656
1jwJgzoFKjEaFbcJHXrl8FEBIlX0B5FRL	dji_20250111171305_0078_v.jpg	8581120
1HwcX8IxLYzoAhy-q8LZGxHCDD3Zb3cEd	dji_20250111171306_0079_v.jpg	8384512
1y-RYOUStaLOxXJRzz7gC6GBLA6qYdrT1	dji_20250111171307_0080_v.jpg	8151040
1nwMCOR3Jk8GEihAYiYDqbsxFA6PXQGht	dji_20250111171308_0081_v.jpg	8867840
1b2YAwsaF_eT1bl4bBRLwiy1eMXCKtist	dji_20250111171309_0082_v.jpg	8720384
1wGdBDBJz5wuGK65oARbGMucjNiK8ehXc	dji_20250111171310_0083_v.jpg	8249344
16K5_PzV2nrgUqa5FPhnDWQobfeSS6PyR	dji_20250111171311_0084_v.jpg	8142848
1HAP1UaNFpzhDc9oi2tGZDdrcQ3_ktjBC	dji_20250111171312_0085_v.jpg	8036352
1nf8C5ARkflLjmwOoemtJ87pr-2WwzOys	dji_20250111171313_0086_v.jpg	7991296
1SZA7ftxSjFQZnl8NLwCr9HbSyh02TDi5	dji_20250111171314_0087_v.jpg	8130560
17Dqg_cEcoTGuogSHeRF2I3sYx9LlVf84	dji_20250111171315_0088_v.jpg	8187904
1Nh7UGxbeEQl2Mr5tPShTCM8lXjKN3lxa	dji_20250111171316_0089_v.jpg	8114176
1Gb8_pGgIgUfSoh9RBWZ4OlJ-S4829xw7	dji_20250111171317_0090_v.jpg	8114176
1RCIpFbAPNt-CcwOgLLxhcCCoBAe0Wa0y	dji_20250111171318_0091_v.jpg	8159232
11-2iaeUzc99EE4Gf7INoX3C3IPsubUaE	dji_20250111171319_0092_v.jpg	8507392
1cjyCz6ugj5nk55g4Te4ZJ8lLcSxpioDQ	dji_20250111171320_0093_v.jpg	8585216
1OE0iCHa0-ZN-Rfa24dqgljL6fLWqK-CI	dji_20250111171321_0094_v.jpg	8491008
1o8KS3u7EwcMHW_zEHT5uUFDy2QbnvnkK	dji_20250111171322_0095_v.jpg	8613888
1aa2N6502RRtmd1kNQSf2njtL3k0aew98	dji_20250111171323_0096_v.jpg	8671232
1wzms0TeYyowqaAa64P-872QB9fPJNOfV	dji_20250111171324_0097_v.jpg	8548352
1oSEJwvL3eBt24ukL0keOnmkMnopyBibm	dji_20250111171325_0098_v.jpg	8323072
1sAUbEbmLUIxB5d_RVuc_3YHtPDVLbBDz	dji_20250111171326_0099_v.jpg	8081408
